tconst	titleType	primaryTitle	originalTitle	isAdult	2018	endYear	runtimeMinutes	genres
tt10091588	tvEpisode	Dusan Teodorovic	Dusan Teodorovic	0	2018	\N	55	"Comedy,News,Talk-Show"
tt10093086	movie	Emilie	Emilie	0	2018	\N	55	Drama
tt10115494	movie	"Sogni, sesso e cuori infranti"	"Sogni, sesso e cuori infranti"	0	2018	\N	55	Documentary
tt10012572	tvEpisode	New York	New York	0	2018	\N	54	Documentary
tt10012622	tvEpisode	Tokyo	Tokyo	0	2018	\N	54	Documentary
tt10012674	tvEpisode	London	London	0	2018	\N	54	Documentary
tt10012682	tvEpisode	Miami	Miami	0	2018	\N	54	Documentary
tt10023072	tvEpisode	3ème Partie	3ème Partie	0	2018	\N	54	"Crime,Drama,Thriller"
tt10048332	movie	Gente de Zona: En Letra De Otro	Gente de Zona: En Letra De Otro	0	2018	\N	54	"Documentary,Music"
tt10085424	video	Rose Namajunas - The Journey	Rose Namajunas - The Journey	0	2018	\N	54	Biography
tt10087550	movie	De man van 85 miljoen	De man van 85 miljoen	0	2018	\N	54	"Documentary,Sport"
tt10023066	tvEpisode	2ème Partie	2ème Partie	0	2018	\N	53	"Crime,Drama,Thriller"
tt10036780	tvEpisode	"Catholiques de France: La crise, 1962-2018"	"Catholiques de France: La crise, 1962-2018"	0	2018	\N	53	"Documentary,History,War"
tt10036784	tvEpisode	"Catholiques de France: La reconquête, 1905-1962"	"Catholiques de France: La reconquête, 1905-1962"	0	2018	\N	53	"Documentary,History,War"
tt10036788	tvEpisode	"Catholiques de France: L'affrontement, 1789-1905"	"Catholiques de France: L'affrontement, 1789-1905"	0	2018	\N	53	"Documentary,History,War"
tt10036824	tvEpisode	Les bombes perdues de la guerre froide: Les années 1960	Les bombes perdues de la guerre froide: Les années 1960	0	2018	\N	53	"Documentary,History,War"
tt10036830	tvEpisode	Les bombes perdues de la guerre froide: Les années 1950	Les bombes perdues de la guerre froide: Les années 1950	0	2018	\N	53	"Documentary,History,War"
tt10047446	tvEpisode	Dungeon Mayhem	Dungeon Mayhem	0	2018	\N	53	Game-Show
tt10073936	tvMovie	"Zsa Zsa Gabor, Königin des roten Teppichs"	"Zsa Zsa Gabor, Königin des roten Teppichs"	0	2018	\N	53	Biography
